,created_on,property_type,lat,lon,barrio,surface_total_in_m2,surface_covered_in_m2,zona,pileta,cochera,aire acondicionado,seguridad,patio,amenities,distanciaCentro,distanciaAIndoamericano,distanciaAFuerteApache,distanciaACarlosGardel,subtes_cercanos,trenes_cercanos
0,2017-08-24,apartment,-34.6109877599,-58.3634635778,Puerto Madero,148.3394495412844,142.1976639712489,Capital Federal,0,1,0,0,0,0,704.0389973932292,11351.165788186894,16204.838456107578,19679.60665702761,0,0
1,2017-08-25,apartment,-34.583720456751514,-58.425026210338665,Buenos Aires Interior,0.0,0.0,Buenos Aires Interior,1,0,1,1,0,1,5697.876798612759,9900.742379316125,11365.583194735247,14702.859067896956,1,1
2,2017-08-01,apartment,-34.589363323200004,-58.412879858800004,Palermo,53.0,48.0,Capital Federal,0,0,0,0,0,1,4420.814586475373,9855.382682975376,12198.455830521734,15595.68374717551,1,0
3,2017-08-01,apartment,-34.58748144212933,-58.45082252771844,Chacarita,39.0,39.0,Capital Federal,0,0,0,0,0,0,7722.775813805652,8796.772758954143,9034.7834763783,12330.796053839551,1,1
4,2017-08-01,apartment,-34.58748144212933,-58.45082252771844,Chacarita,51.0,51.0,Capital Federal,0,0,0,0,0,0,7722.775813805652,8796.772758954143,9034.7834763783,12330.796053839551,1,1
5,2017-08-01,apartment,-34.58748144212933,-58.45082252771844,Chacarita,39.0,39.0,Capital Federal,0,0,0,0,0,0,7722.775813805652,8796.772758954143,9034.7834763783,12330.796053839551,1,1
6,2017-08-01,apartment,-34.58748144212933,-58.45082252771844,Chacarita,39.0,39.0,Capital Federal,0,0,0,0,0,0,7722.775813805652,8796.772758954143,9034.7834763783,12330.796053839551,1,1
7,2017-08-01,apartment,-34.58748144212933,-58.45082252771844,Chacarita,39.0,39.0,Capital Federal,0,0,0,0,0,0,7722.775813805652,8796.772758954143,9034.7834763783,12330.796053839551,1,1
8,2017-08-01,apartment,-34.5787213694,-58.457095261400006,Colegiales,67.0,67.0,Capital Federal,0,0,0,0,0,0,8594.322016609522,9677.48000735812,9005.931100299078,12165.118425211525,0,0
9,2017-08-01,apartment,-34.60880791809109,-58.42108379341455,Almagro,47.0,47.0,Capital Federal,0,0,0,0,0,1,4652.651825289566,7629.929971125761,10984.251791022374,14452.366159925909,1,0
10,2017-08-01,apartment,-34.60880791809109,-58.42108379341455,Almagro,47.0,47.0,Capital Federal,0,0,0,0,0,1,4652.651825289566,7629.929971125761,10984.251791022374,14452.366159925909,1,0
11,2017-08-01,apartment,-34.60880791809109,-58.42108379341455,Almagro,47.0,47.0,Capital Federal,0,0,0,0,0,1,4652.651825289566,7629.929971125761,10984.251791022374,14452.366159925909,1,0
12,2017-08-01,apartment,-34.61302865598242,-58.36378343846066,Puerto Madero,64.0,64.0,Capital Federal,0,0,0,0,0,0,812.1722682371048,11207.022334569774,16159.251962254797,19634.23228239589,0,0
13,2017-08-01,apartment,-34.5622109457,-58.442515416899994,Belgrano,160.0,160.0,Capital Federal,0,0,0,0,0,0,8353.681385677903,11702.349886544149,11152.122071050544,14190.02690151768,0,1
14,2017-08-01,apartment,-34.598019670846476,-58.43994408280631,Villa Crespo,39.0,39.0,Capital Federal,0,0,0,0,0,0,6476.178637583507,7918.552486953932,9546.467122415062,12958.681376439488,1,0
15,2017-08-01,apartment,-34.598019670846476,-58.43994408280631,Villa Crespo,39.0,39.0,Capital Federal,0,0,0,0,0,0,6476.178637583507,7918.552486953932,9546.467122415062,12958.681376439488,1,0
16,2017-08-01,apartment,-34.598019670846476,-58.43994408280631,Villa Crespo,39.0,39.0,Capital Federal,0,0,0,0,0,0,6476.178637583507,7918.552486953932,9546.467122415062,12958.681376439488,1,0
17,2017-08-01,apartment,-34.598019670846476,-58.43994408280631,Villa Crespo,39.0,39.0,Capital Federal,0,0,0,0,0,0,6476.178637583507,7918.552486953932,9546.467122415062,12958.681376439488,1,0
18,2017-08-01,apartment,-34.598019670846476,-58.43994408280631,Villa Crespo,39.0,39.0,Capital Federal,0,0,0,0,0,0,6476.178637583507,7918.552486953932,9546.467122415062,12958.681376439488,1,0
19,2017-08-01,apartment,-34.598019670846476,-58.43994408280631,Villa Crespo,39.0,39.0,Capital Federal,0,0,0,0,0,0,6476.178637583507,7918.552486953932,9546.467122415062,12958.681376439488,1,0
20,2017-08-01,apartment,-34.598019670846476,-58.43994408280631,Villa Crespo,39.0,39.0,Capital Federal,0,0,0,0,0,0,6476.178637583507,7918.552486953932,9546.467122415062,12958.681376439488,1,0
21,2017-08-01,apartment,-34.598019670846476,-58.43994408280631,Villa Crespo,39.0,39.0,Capital Federal,0,0,0,0,0,0,6476.178637583507,7918.552486953932,9546.467122415062,12958.681376439488,1,0
22,2017-08-01,apartment,-34.598019670846476,-58.43994408280631,Villa Crespo,50.0,50.0,Capital Federal,0,0,0,0,0,0,6476.178637583507,7918.552486953932,9546.467122415062,12958.681376439488,1,0
23,2017-08-01,apartment,-34.598019670846476,-58.43994408280631,Villa Crespo,51.0,51.0,Capital Federal,0,0,0,0,0,0,6476.178637583507,7918.552486953932,9546.467122415062,12958.681376439488,1,0
24,2017-08-01,apartment,-34.598019670846476,-58.43994408280631,Villa Crespo,51.0,51.0,Capital Federal,0,0,0,0,0,0,6476.178637583507,7918.552486953932,9546.467122415062,12958.681376439488,1,0
25,2017-08-01,apartment,-34.598019670846476,-58.43994408280631,Villa Crespo,51.0,51.0,Capital Federal,0,0,0,0,0,0,6476.178637583507,7918.552486953932,9546.467122415062,12958.681376439488,1,0
26,2017-08-01,apartment,-34.598019670846476,-58.43994408280631,Villa Crespo,51.0,51.0,Capital Federal,0,0,0,0,0,0,6476.178637583507,7918.552486953932,9546.467122415062,12958.681376439488,1,0
27,2017-08-01,apartment,-34.598019670846476,-58.43994408280631,Villa Crespo,39.0,39.0,Capital Federal,0,0,0,0,0,0,6476.178637583507,7918.552486953932,9546.467122415062,12958.681376439488,1,0
28,2017-08-01,apartment,-34.598019670846476,-58.43994408280631,Villa Crespo,39.0,39.0,Capital Federal,0,0,0,0,0,0,6476.178637583507,7918.552486953932,9546.467122415062,12958.681376439488,1,0
29,2017-08-01,apartment,-34.5929869403,-58.4415420211,Villa Crespo,39.0,39.0,Capital Federal,0,0,0,0,0,0,6737.60963501546,8404.89223017071,9582.799574728857,12956.25580199576,1,1
30,2017-08-01,apartment,-34.5929869403,-58.4415420211,Villa Crespo,39.0,39.0,Capital Federal,0,0,0,0,0,0,6737.60963501546,8404.89223017071,9582.799574728857,12956.25580199576,1,1
31,2017-08-01,apartment,-34.5929869403,-58.4415420211,Villa Crespo,39.0,39.0,Capital Federal,0,0,0,0,0,0,6737.60963501546,8404.89223017071,9582.799574728857,12956.25580199576,1,1
32,2017-08-01,apartment,-34.5929869403,-58.4415420211,Villa Crespo,39.0,39.0,Capital Federal,0,0,0,0,0,0,6737.60963501546,8404.89223017071,9582.799574728857,12956.25580199576,1,1
33,2017-08-01,apartment,-34.5929869403,-58.4415420211,Villa Crespo,39.0,39.0,Capital Federal,0,0,0,0,0,0,6737.60963501546,8404.89223017071,9582.799574728857,12956.25580199576,1,1
34,2017-08-01,apartment,-34.598019670846476,-58.43994408280631,Villa Crespo,39.0,39.0,Capital Federal,0,0,0,0,0,0,6476.178637583507,7918.552486953932,9546.467122415062,12958.681376439488,1,0
